CaveGest 4.2 - Export des grilles tarifaires au 12/01/2026 - ATTENTION : la grille EXPO est saisie en TTC;;;;;;;;;;

Ref;Désignation;Contenant;Couleur;TVA;DEPC;CHR;EXPO;PART;SALON;Stock
CLONM5;Clos du Pech N.M.;Bouteille - 75.0;;20;18,79;16,54;22,55;22,17;;128
SEL197;Sélection du Domaine 2019;Bouteille - 75.0;rouge;20;  21,59 EUR;19,00;25,91;25,48;23,75;575
VIE199;Vieilles Vignes 2019;Bouteille - 75.0;BLANC;20;15,55;13,68;18,66;18,35;;576
COT231;Coteaux Nord 2023;½ Bouteille - 37.5;rouge;20;  31,75 EUR;27,94;38,10;37,46;;844
TERNM9;Terre Rouge;½ Bouteille - 37.5;blanc;20;12,31;10,83;14,77;14,53;13,54;54
CUV193;Cuvée Prestige 2019;½ Bouteille - 37.5;BLANC;20;33,45;29,44;40,14;39,47;;318
SOUS-TOTAL VIN DE FRANCE;;;;;;;;;;22
--- EFFERVESCENTS ---;;;;;;;;;;
TER206;Terre Rouge 2020;BIB - 300.0;Blanc;20;21,84;19,22;26,21;25,77;;553
LES204;Les Grands Ormes 2020;Bouteille - 75.0;rouge;20;15,14;13,32;18,17;17,87;;679
CUV228;Cuvée Marie 2022;;Rouge;20;22,62;19,91;27,14;26,69;;406
VIENM9;Vieilles Vignes N.M.;Magnum - 150.0;Rouge;20;25,70;22,62;30,84;30,33;28,27;353
COTNM2;Coteaux Nord;Bouteille - 75.0;blanc;20;22,17;19,51;26,60;26,16;;458
FUT209;Fût de Chêne 2020;Bouteille - 75.0;blanc;20;20,90;18,39;25,08;24,66;22,99;528
CUV227;Cuvée Marie 2022;Magnum - 150.0;BLANC;20;  12,27 EUR;10,80;14,72;14,48;;647
CUV192;Cuvée Prestige 2019;BIB - 300.0;Rouge;20;  19,97 EUR;17,57;23,96;;;556
GRA222;Grande Réserve 2022;Magnum - 150.0;Rouge;20;27,48;24,18;32,98;32,43;30,23;437
VIE211;Vieilles Vignes 2021;Bouteille - 75.0;Blanc;20;25,16;22,14;30,19;29,69;27,68;237
LENM6;Le Clos Fleuri;Bouteille - 75.0;blanc;20;29,70;26,14;35,64;35,05;32,67;613
GRA235;Grande Réserve 2023;;;20;  28,52 EUR;25,10;34,22;33,65;31,37;110
LESNM5;Les Galets;Litre - 100.0;BLANC;20;  32,66 EUR;28,74;39,19;38,54;35,93;79
FUT219;Fût de Chêne 2021;Litre - 100.0;;20;13,50;11,88;16,20;15,93;;686
LE228;Le Clos Fleuri 2022;BIB - 500.0;BLANC;20;31,10;27,37;37,32;36,70;34,21;632
TRA205;Tradition 2020;BIB - 300.0;Blanc;20;10,83;9,53;13;12,78;;354
TRA228;Tradition 2022;BIB - 300.0;Blanc;20;15;13,20;18;17,70;;358
CUV228;Cuvée Emeline 2022;BIB - 500.0;Blanc;20;8,58;7,55;10,30;10,12;;333
VIE224;Vieilles Vignes 2022;;Rosé;20;  5,11 EUR;4,50;6,13;6,03;5,62;122
BELNM3;Belles Rives;½ Bouteille - 37.5;Rosé;20;29,66;26,10;35,59;35;32,63;375
TER211;Terrasses du Sud 2021;BIB - 300.0;blanc;20;8,19;7,21;9,83;9,66;;690
SOUS-TOTAL EFFERVESCENTS;;;;;;;;;;21
--- DIVERS ---;;;;;;;;;;
VIENM6;Eau de source N.M.;Magnum - 150.0;;5,50;  25,64 EUR;22,56;27,05;30,26;;492
TRA231;Eau de source 2023;Magnum - 150.0;blanc;5,50;11,66;10,26;12,30;13,76;;666
LES209;Les Galets 2020;;BLANC;20;11,22;9,87;13,46;13,24;12,34;5
CLONM2;Clos du Pech N.M.;½ Bouteille - 37.5;Blanc;20;27,46;24,16;32,95;32,40;30,21;614
LES194;Les Argiles 2019;Bouteille - 75.0;BLANC;20;26,70;23,50;32,04;31,51;29,37;290
LE234;Le Petit Clos 2023;Litre - 100.0;rouge;20;12,76;11,23;15,31;15,06;;710
CUV207;Eau de source 2020;BIB - 300.0;Rosé;5,50;33,28;29,29;35,11;39,27;36,61;552
CUV225;Eau de source 2022;BIB - 500.0;;5,50;21,03;18,51;22,19;24,82;23,13;569
CUV239;Eau de source 2023;BIB - 300.0;blanc;5,50;29,39;25,86;31,01;34,68;;660
LA226;Eau de source 2022;½ Bouteille - 37.5;blanc;5,50;22,81;20,07;24,06;26,92;25,09;237
BEL205;Belles Rives 2020;BIB - 500.0;Rosé;20;6,72;5,91;8,06;7,93;7,39;221
LES191;Les Argiles 2019;Litre - 100.0;Rosé;20;30,41;26,76;36,49;35,88;;164
TER229;Terrasses du Sud 2022;;Rouge;20;24,09;21,20;28,91;28,43;26,50;871
COTNM3;Coteaux Nord N.M.;Bouteille - 75.0;;20;23,69;20,85;28,43;27,95;;377
TRA197;Nectar de pomme 2019;Bouteille - 75.0;rouge;5,50;10,83;9,53;11,43;12,78;11,91;818
TER232;Eau de source 2023;Bouteille - 75.0;blanc;5,50;9,35;8,23;9,86;11,03;;33
CUVNM8;Cuvée Prestige N.M.;BIB - 500.0;Rouge;20;16,14;14,20;19,37;19,05;;654
HAU229;Jus de raisin bio 2022;Bouteille - 75.0;rouge;5,50;12,26;10,79;12,93;14,47;;824
VIE214;Nectar de pomme 2021;Bouteille - 75.0;Rosé;5,50;28,97;25,49;30,56;34,18;31,87;238
SEL205;Sélection du Domaine 2020;Bouteille - 75.0;;20;32,69;28,77;39,23;38,57;35,96;289
CLONM3;Clos du Pech N.M.;Bouteille - 75.0;Blanc;20;21,53;18,95;25,84;25,41;23,68;392
VIE212;Vieilles Vignes 2021;BIB - 500.0;Rosé;20;16,82;14,80;20,18;19,85;18,50;38
SOUS-TOTAL DIVERS;;;;;;;;;;22
